Block1_Old,Num_Source3,Num_Source2,Num_Source1,valence1,valence2,valence3,Num_Old2,Corr_S1,Num_Old1,Corr_S3,Corr_S2,Block3_Old,Block2_Old,Source_2,Source_3,Source_1,domain3,domain2,domain1,Num_Old3,math,Num_All2,valence_all1,All_Words3,Num_All1,valence_all2,Num_All3,All_Words1,valence_all3,Corr_Rec2,Corr_Rec3,Corr_Rec1,domian_all3,domian_all2,domian_all1,All_Words2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,block_resp_1.keys,block_resp_1.rt,words_rating.keys,words_rating.rt,block_resp_2.keys,block_resp_2.rt,Rec_resp.keys,Rec_resp.corr,Rec_resp.rt,Source_resp.keys,Source_resp.corr,Source_resp.rt,expName,participant,Age,frameRate,Sex,session,date,
贪污,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/33.png,f,material/133.png,f,f,贪污,腐败,self,self,self,1,1,1,material/133.png,,,,,,,,,,,,,,,,,0,50,50,32,,,,,,,,,,,,,,,2,1.1064748764,,,,,,,,,moral_self_bias,14,19,59.9559725772,f,001,2018_Apr_02_1505,
放纵,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/76.png,f,material/176.png,f,f,放纵,虚伪,self,self,self,1,1,1,material/176.png,,,,,,,,,,,,,,,,,0,51,51,75,,,,,,,,,,,,,,,1,1.65741991997,,,,,,,,,moral_self_bias,14,19,59.9559725772,f,001,2018_Apr_02_1505,
坚毅,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,1,1,1,material/10.png,j,material/110.png,j,j,坚毅,顽强,friend,friend,friend,1,1,1,material/110.png,,,,,,,,,,,,,,,,,0,52,52,9,,,,,,,,,,,,,,,4,0.842417955399,,,,,,,,,moral_self_bias,14,19,59.9559725772,f,001,2018_Apr_02_1505,
独立,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,1,1,1,material/64.png,f,material/165.png,f,f,谦虚,奉献,self,self,self,1,1,1,material/65.png,,,,,,,,,,,,,,,,,0,53,53,64,,,,,,,,,,,,,,,4,1.22554302216,,,,,,,,,moral_self_bias,14,19,59.9559725772,f,001,2018_Apr_02_1505,
恶心,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/73.png,f,material/177.png,f,f,恶心,残虐,self,self,self,1,1,1,material/177.png,,,,,,,,,,,,,,,,,0,54,54,76,,,,,,,,,,,,,,,1,1.20873498917,,,,,,,,,moral_self_bias,14,19,59.9559725772,f,001,2018_Apr_02_1505,
友善,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,1,1,1,material/4.png,f,material/104.png,f,f,友善,友爱,self,self,self,1,1,1,material/104.png,,,,,,,,,,,,,,,,,0,55,55,3,,,,,,,,,,,,,,,2,1.07547402382,,,,,,,,,moral_self_bias,14,19,59.9559725772,f,001,2018_Apr_02_1505,
机变,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,1,1,1,material/70.png,j,material/168.png,j,j,全面,全面,friend,friend,friend,2,2,2,material/70.png,,,,,,,,,,,,,,,,,0,56,56,67,,,,,,,,,,,,,,,4,1.00872397423,,,,,,,,,moral_self_bias,14,19,59.9559725772,f,001,2018_Apr_02_1505,
残忍,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,2,2,2,material/41.png,j,material/141.png,j,j,残忍,歹毒,friend,friend,friend,1,1,1,material/141.png,,,,,,,,,,,,,,,,,0,57,57,40,,,,,,,,,,,,,,,1,1.10861992836,,,,,,,,,moral_self_bias,14,19,59.9559725772,f,001,2018_Apr_02_1505,
笨蛋,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,2,2,2,material/48.png,j,material/148.png,j,j,愚蠢,愚蠢,friend,friend,friend,2,2,2,material/48.png,,,,,,,,,,,,,,,,,0,58,58,47,,,,,,,,,,,,,,,1,1.0245718956,,,,,,,,,moral_self_bias,14,19,59.9559725772,f,001,2018_Apr_02_1505,
忠心,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,1,1,1,material/12.png,f,material/112.png,f,f,忠心,忠诚,self,self,self,1,1,1,material/112.png,,,,,,,,,,,,,,,,,0,59,59,11,,,,,,,,,,,,,,,4,1.64293694496,,,,,,,,,moral_self_bias,14,19,59.9559725772,f,001,2018_Apr_02_1505,
