"","ParticipantID","IAT","stimulus","condition","task_id","word","screen_id","rt","RT","response","correct","version_attrib","version_target","version_attrib2","version_target2","ID"
"1",398,NA,"
    <h3>词语分类任务</h3>
    <p>在接下来的任务中，你需要对一系列词语进行分类。<p/>
    请先熟悉这些词语，这有利于你完成接下来的任务。</p>
    <table align=""center"" border=1 cellpadding=3 cellspacing=0>
    <tr> <th>类别</th> <th>词语</th> </tr>
    <tr> <td>&emsp;积极&emsp;</td> <td>&emsp;高尚、诚信、善良、君子、廉正、正直&emsp;</td> </tr>
    <tr> <td>&emsp;消极&emsp;</td> <td>&emsp;缺德、卑鄙、不孝、不仁、小人、黑心&emsp;</td> </tr>
    <tr> <td>&emsp;自我&emsp;</td> <td>&emsp;我、我的、自己、自己的、本人、本人的&emsp;</td> </tr>
    <tr> <td>&emsp;他人&emsp;</td> <td>&emsp;他、他的、别人、别人的、他人、他人的&emsp;</td> </tr>
"117",398,15,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">我</p>","self","moral","我","5","601",601,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"118",398,15,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">本人的</p>","self","moral","本人的","5","1058",1058,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"119",398,15,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">本人</p>","self","moral","本人","5","550",550,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"120",398,15,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">他人的</p>","other","moral","他人的","5","593",593,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"121",398,15,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">别人的</p>","other","moral","别人的","5","479",479,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"122",398,16,"<p style=""color:white; font-size: 35px;"">廉正</p>","positive","moral","廉正","6","867",867,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"123",398,16,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">他人</p>","other","moral","他人","6","587",587,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"124",398,16,"<p style=""color:white; font-size: 35px;"">不孝</p>","negative","moral","不孝","6","821",821,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"125",398,16,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">本人</p>","self","moral","本人","6","524",524,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"126",398,16,"<p style=""color:white; font-size: 35px;"">卑鄙</p>","negative","moral","卑鄙","6","634",634,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
