"","ParticipantID","Sex","Word","Word2","task_id","screen_id","Image","condition","word","identity","response","responses","correct_response","rt","correct","domain","valence","person","con","ID"
"6839",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","circle","好他","好他","match","f","match","f","952",1,"moral","positive","friend","moral_friend_match","phase_003_subj_8"
"6840",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","circle","好他","坏我","nonmatch","j","nonmatch","j","941",1,"moral","positive","friend","moral_friend_nonmatch","phase_003_subj_8"
"6841",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","triangle","坏他","好我","nonmatch","j","nonmatch","j","1000",1,"moral","negative","friend","moral_friend_nonmatch","phase_003_subj_8"
"6842",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","triangle","坏他","坏他","match","f","match","f","981",1,"moral","negative","friend","moral_friend_match","phase_003_subj_8"
"6843",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","triangle","坏他","坏我","nonmatch","f","match","j","954",0,"moral","negative","friend","moral_friend_nonmatch","phase_003_subj_8"
"6844",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","circle","好他","坏我","nonmatch","j","nonmatch","j","934",1,"moral","positive","friend","moral_friend_nonmatch","phase_003_subj_8"
"6845",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","pentagon","好我","好我","match","f","match","f","1036",1,"moral","positive","self","moral_self_match","phase_003_subj_8"
"6846",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","diamond","坏我","坏我","match","f","match","f","931",1,"moral","negative","self","moral_self_match","phase_003_subj_8"
"6847",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","triangle","坏他","坏他","match","f","match","f","968",1,"moral","negative","friend","moral_friend_match","phase_003_subj_8"
"6848",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","circle","好他","好他","match","f","match","f","756",1,"moral","positive","friend","moral_friend_match","phase_003_subj_8"
"6849",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","diamond","坏我","坏我","match","f","match","f","1001",1,"moral","negative","self","moral_self_match","phase_003_subj_8"
"6850",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","pentagon","好我","好他","nonmatch","j","nonmatch","j","985",1,"moral","positive","self","moral_self_nonmatch","phase_003_subj_8"
"6851",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","triangle","坏他","坏他","match","j","nonmatch","f","972",0,"moral","negative","friend","moral_friend_match","phase_003_subj_8"
"6852",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","diamond","坏我","好我","nonmatch","f","match","j","1021",0,"moral","negative","self","moral_self_nonmatch","phase_003_subj_8"
"6853",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","pentagon","好我","坏我","nonmatch","null","null","j","null",NA,"moral","positive","self","moral_self_nonmatch","phase_003_subj_8"
"6854",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","triangle","坏他","好他","nonmatch","j","nonmatch","j","1050",1,"moral","negative","friend","moral_friend_nonmatch","phase_003_subj_8"
"6855",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","circle","好他","好他","match","j","nonmatch","f","971",0,"moral","positive","friend","moral_friend_match","phase_003_subj_8"
"6856",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","pentagon","好我","好我","match","f","match","f","954",1,"moral","positive","self","moral_self_match","phase_003_subj_8"
"6857",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","circle","好他","好我","nonmatch","j","nonmatch","j","957",1,"moral","positive","friend","moral_friend_nonmatch","phase_003_subj_8"
"6858",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","pentagon","好我","好我","match","j","nonmatch","f","1011",0,"moral","positive","self","moral_self_match","phase_003_subj_8"
